Schuurmann MO shift alpha Shift,Polarizability derived from the dipole moment Ad,Toxicity Index
0.1477388389040304,0.07587727358612076,0.3757191590495975
0.16979118835018106,-0.20980219273551778,-0.14428888901535483
0.32144629028535,-0.2705896329999448,-0.23699456980307704
-0.3376952545425175,0.2759375163737953,0.24659382523033668
0.2165126577346559,0.94666944625061,-0.10947524743846555
0.5719662522757099,0.6329814460148812,-0.3225204149320883
0.7616271275432664,-0.21326033243069437,-0.7025253099883431
-0.247785665281673,0.5365765499655692,0.3488977525230388
0.03509049537801985,-0.15893176073512028,-0.1703574121173724
-0.24654924826317512,0.536758058721426,0.3484177373614001
0.9869143279759872,0.22441879635182443,-0.780153399849376
